Miltal,Modellår,Biltyp,Drivning,Hästkrafter,Färg,Märke,Modell,Län,Pris (Y),,,
2941,2022,suv,4,408,vit,audi,e-tron,stockholm,628900,,,
5244,2020,suv,4,408,svart,audi,e-tron,stockholm,433900,,,
5110,2020,suv,2,136,vit,hyundai,kona,stockholm,199900,,,
3478,2022,suv,4,408,grå,audi,e-tron,stockholm,624900,,,
5244,2022,suv,4,300,svart,audi,q4,stockholm,504900,,,
7367,2022,suv,4,408,grå,audi,e-tron,stockholm,583900,,,
2998,2023,suv,2,204,grå,audi,q4,stockholm,474900,,,
4373,2021,suv,4,504,silver,audi,e-tron,stockholm,692900,,,
1950,2022,suv,2,204,svart,hyundai,kona,vimmerby,379900,,,
4232,2020,halvkombi,2,136,röd,hyundai,ioniq,österåker,200000,,,
8826,2020,suv,4,408,grå,audi,e-tron,stockholm,479900,,,
4000,2019,halvkombi,2,120,grå,hyundai,ioniq,örebro,199800,,,
4200,2021,halvkombi,2,150,Svart,Nissan,Leaf,Skåne,189 000,,,
7880,2022,halvkombi,2,218,Vit,Nissan,Leaf,Örebro,279 800,,,
610,2023,halvkombi,2,150,mörkblå,Nissan,Leaf,Jönköping,298 800,,,
1500,2023,halvkombi,2,150,Vit,Nissan,Leaf,Västra Götaland,309 900,,,
673,2022,halvkombi,2,150,Vit,Nissan,Leaf,Östergötland,219 900,,,
8227,214,halvkombi,2,109,Silver,Nissan,Leaf,Gotland,109 800,,,
605,2023,halvkombi,2,150,mörkblå,Nissan,Leaf,Kronoberg,259 800,,,
800,2022,halvkombi,2,150,mörkblå,Nissan,Leaf,Halland,279 800,,,
3300,2022,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,184 900,,,
6600,2019,halvkombi,2,150,Vit,Nissan,Leaf,Norrbotten,179 900,,,
11333,2017,halvkombi,2,109,Vit,Nissan,Leaf,Skåne,120 000,,,
14821,2018,halvkombi,2,150,Röd,Nissan,Leaf,Västmanland,159 700,,,
1528,2022,halvkombi,2,150,Grå,Nissan,Leaf,Stockholm,238 900,,,
3234,2021,halvkombi,2,150,Vit,Nissan,Leaf,Östergötland,198 900,,,
5892,2019,halvkombi,2,150,Vit,Nissan,Leaf,Skåne,197 800,,,
8491,2021,halvkombi,2,218,Röd,Nissan,Leaf,Stockholm,217 900,,,
8323,2018,halvkombi,2,150,Röd,Nissan,Leaf,Stockholm,159 900,,,
2149,2022,halvkombi,2,150,Ljusgrå,Nissan,Leaf,Stockholm,210 900,,,
8043,2021,halvkombi,2,218,Grå,Nissan,Leaf,Stockholm,221 900,,,
2826,2022,halvkombi,2,150,Röd,Nissan,Leaf,Stockholm,205 900,,,
2741,2022,halvkombi,2,150,Grå,Nissan,Leaf,Stockholm,205 900,,,
7385,2019,halvkombi,2,150,Ljusgrön,Nissan,Leaf,Stockholm,184 900,,,
4109,2022,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,189 900,,,
3158,2022,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,199 900,,,
3986,2021,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,181 900,,,
4085,2021,halvkombi,2,150,Röd,Nissan,Leaf,Stockholm,185 900,,,
1927,2022,halvkombi,2,218,Grå,Nissan,Leaf,Stockholm,290 900,,,
3998,2021,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,181 900,,,
3041,2021,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,178 900,,,
1504,2022,halvkombi,2,218,Grå,Nissan,Leaf,Stockholm,288 900,,,
6106,2019,halvkombi,2,150,Vit,Nissan,Leaf,Stockholm,176 900,,,
2720,2020,halvkombi,2,150,Brun,Nissan,Leaf,Jönköping,239 900,,,
15536,2020,halvkombi,2,218,Mörkgrå,Nissan,Leaf,Stockholm,199 900,,,
4468,2021,halvkombi,2,150,Svart,Nissan,Leaf,Kalmar,245 000,,,
9650,2016,halvkombi,2,109,Svart,Nissan,Leaf,Västra Götaland,128 800,,,
2570,2022,halvkombi,2,150,Ljusgrå,Nissan,Leaf,Stockholm,214 900,,,
2723,2016,halvkombi,2,109,Brun,Nissan,Leaf,Halland,129 000,,,
2027,2020,halvkombi,2,150,Röd,Nissan,Leaf,Skåne,199 900,,,
567,2023,SUV,2,221,Mörkgrön,Nissan,Ariya,Västerbotten,499 900,,,
5310,2020,halvkombi,2,218,Vit,Nissan,Leaf,Jönköping,254 900,,,
2955,2022,halvkombi,2,150,Vit,Nissan,Leaf,Nordvästra Södermanland,209 000,,,
2078,2023,SUV,2,243,Svart,Nissan,Ariya,Stockholm,499 900,,,
3440,2021,halvkombi,2,150,Röd,Nissan,Leaf,Dalarna,209 900,,,
700,2023,SUV,2,243,Ljusgrå,Nissan,Ariya,Kalmar,599 900,,,
950,2023,SUV,2,243,Blå,Nissan,Ariya,Jönköping,579 800,,,
4990,2020,suv,4,313,grå,audi,e-tron,linköping,415900,,,
9208,2020,suv,4,313,svart,audi,e-tron,Stockholm,354900,,,
5326,2022,suv,4,408,Silver,audi,e-tron,Stockholm,594900,,,
3438,2020,suv,4,408,blå,audi,e-tron,Göteborg,589800,,,
4937,2020,suv,4,313,svart,audi,e-tron,Göteborg,399800,,,
500,2023,sedan,2,77.4kWh,röd,hyundai,ioniq,Jönköping,589900,,,
900,2023,sedan,4,77.4kWh,grå,hyundai,ioniq,Jönköping,609900,,,
7200,2019,halvkombi,2,204,orange,hyundai,kona,Jönköping,259900,,,
7213,2018,halvkombi,2,120,mörkblå,hyundai,ioniq,knivsta,169400,,,
2133,2021,halvkombi,2,204,vit,hyundai,kona,växjö,329800,,,
8649,2017,halvkombi,2,120,Silver,hyundai,ioniq,Stockholm,177900,,,
2952,2019,halvkombi,2,120,Silver,hyundai,ioniq,trollhättan,184000,,,
2070,2021,halvkombi,2,204,röd,hyundai,kona,Kalmar,334900,,,
6900,2020,suv,2,204,vit,hyundai,kona,värnamo,269900,,,
4500,2020,suv,4,313,svart,audi,e-tron,skövde,439000,,,
8897,2022,suv,2,218,vit,hyundai,ioniq,växjö,419900,,,
1554,2023,suv,2,204,grå,audi,q4,hörby,549000,,,
4000,2021,halvkombi,2,218,grå,hyundai,ioniq,Jönköping,459800,,,
1700,2023,sedan,4,77.4kWh,vit,hyundai,ioniq,nässjö,599900,,,
588,2023,suv,2,229,grön,hyundai,ioniq,kungälv,549900,,,
5937,2020,halvkombi,2,136,[grå],hyundai,ioniq,norrköping,229000,,,
1600,2023,sedan,4,77.4kWh,blå,hyundai,ioniq,örebro,609900,,,
1600,2023,sedan,4,77.4kWh,blå,hyundai,ioniq,örebro,599900,,,
1900,2023,suv,4,77.4kWh,grå,hyundai,ioniq,örebro,548900,,,
700,2024,suv,2,218,grå,hyundai,kona,nässjö,595200,,,
1000,2023,sedan,4,77.4kWh,svart,hyundai,ioniq,nässjö,660700,,,
2600,2019,halvkombi,2,120,vit,hyundai,ioniq,karlskrona,219900,,,
2600,2021,suv,4,408,röd,audi,e-tron,tranemo,619000,,,
5656,2019,halvkombi,2,120,[blå],hyundai,ioniq,lund,184500,,,
10283,2020,halvkombi,2,138,[vit],hyundai,ioniq,lidköping,219900,,,
10895,2021,suv,4,408,svart,audi,e-tron,karlstad,439500,,,
500,2023,sedan,2,77.4kWh,svart,hyundai,ioniq,värnamo,639800,,,
800,2024,suv,2,218,grå,hyundai,kona,vimmerby,569900,,,
1400,2023,suv,4,300,svart,audi,q4,borås,605000,,,
2990,2023,sedan,4,77.4kWh,grå,hyundai,ioniq,skövde,634900,,,
600,2023,halvkombi,4,[103.8],grå,hyundai,ioniq,skövde,619900,,,
3730,2020,suv,4,408,svart,audi,e-tron,karlstad,459500,,,
600,2024,sedan,4,77.4kwh,blå,hyundai,ioniq,vimmerby,639800,,,
1000,2023,sedan,4,77.4kwh,vit,hyundai,ioniq,Kalmar,599900,,,
1350,2023,sedan,4,77.4kwh,blå,hyundai,ioniq,vetlanda,599900,,,
500,2024,suv,2,218,grå,hyundai,kona,växjö,595200,,,
1290,2023,sedan,4,77.4kwh,vit,hyundai,ioniq,Jönköping,609900,,,
9900,2020,suv,2,204,vit,hyundai,kona,skövde,259900,,,
800,2024,suv,2,218,vit,hyundai,kona,skövde,549900,,,
1500,2023,sedan,4,77.4kwh,blå,hyundai,ioniq,skövde,599900,,,
800,2023,suv,2,77.4kwh,gul,hyundai,ioniq,karlskrona,639800,,,
600,2023,halvkombi,4,77.4kwh,grå,hyundai,ioniq,växjö,599900,,,
850,2023,sedan,4,77.4kwh,blå,hyundai,ioniq,karlskrona,599900,,,
3000,2020,halvkombi,2,120,vit,hyundai,ioniq,kristianstad,229900,,,
3 683,2022,SUV,4,300,Mörkgrå,Volkswagen,ID.4,Stockholm,457 900,,,
4 423,2021,SUV,2,204,Vit,Volkswagen,ID.4,Stockholm,390 900,,,
2 350,2021,SUV,2,204,Mörkgrå,Volkswagen,ID.4,Skåne,449 900,,,
2 207,2022,SUV,4,300,Mörkgrå,Volkswagen,ID.4,Stockholm,494 900,,,
2 789,2016,Halvkombi,2,82,Vit,Volkswagen,e-up!,Västerbotten,129 900,,,
7 700,2015,Halvkombi,2,82,Silver,Volkswagen,e-up!,Göteborg,89 000,,,
4 478,2020,Halvkombi,2,83,Gul,Volkswagen,e-up!,Stockholm,153 900,,,
9 471,2020,Halvkombi,2,83,Vit,Volkswagen,e-up!,Stockholm,144 900,,,
3 438,2022,SUV,4,300,Vit,Volkswagen,ID.4,Stockholm,449 900,,,
3 820,2020,Halvkombi,2,204,Vit,Volkswagen,ID.3,Stockholm,304 900,,,
2 143,2022,SUV,4,300,Vit,Volkswagen,ID.4,Stockholm,455 900,,,
3 253,2021,Halvkombi,2,204,Mörkgrå,Volkswagen,ID.3,Stockholm,278 900,,,
5 500,2021,Halvkombi,2,204,Mörkgrå,Volkswagen,ID.3,Stockholm,351 900,,,
4 969,2021,SUV,2,204,Mörkgrå,Volkswagen,ID.4,Stockholm,379 900,,,
4 431,2021,SUV,2,170,Grå,Volkswagen,ID.4,Stockholm,324 900,,,
4 979,2021,SUV,2,204,Blå,Volkswagen,ID.4,Stockholm,390 900,,,
2 967,2022,SUV,4,300,Silver,Volkswagen,ID.5,Stockholm,458 900,,,
4 878,2018,Halvkombi,2,136,Vit,Volkswagen,E-Golf,Stockholm,189 900,,,
2 969,2021,SUV,2,170,Grå,Volkswagen,ID.4,Stockholm,339 900,,,
5 659,2021,SUV,2,204,Blå,Volkswagen,ID.4,Stockholm,368 900,,,
4 388,2020,Halvkombi,2,136,Vit,Volkswagen,E-Golf,Stockholm,211 900,,,
2 226,2020,Halvkombi,2,83,Vit,Volkswagen,e-up!,Göteborg,140 000,,,
1 700,2020,Halvkombi,2,83,Vit,Volkswagen,e-up!,Blekinge,189 900,,,
2 008,2020,Halvkombi,2,83,Vit,Volkswagen,e-up!,Blekinge,179 900,,,
6 231,2021,SUV,2,204,Vit,Volkswagen,ID.4,Stockholm,407 900,,,
5 800,2018,Halvkombi,2,136,Svart,Volkswagen,E-Golf,Västmanland,209 900,,,
8 200,2014,Halvkombi,2,82,Silver,Volkswagen,e-up!,Stockholm,119 900,,,
6 200,2017,Halvkombi,2,82,Vit,Volkswagen,e-up!,Blekinge,139 000,,,
11 865,2019,Halvkombi,2,136,Vit,Volkswagen,E-Golf,Norrbotten,199 900,,,
5 211,2018,Halvkombi,2,136,Vit,Volkswagen,E-Golf,Göteborg,179 800,,,
6 624,2019,Halvkombi,2,136,Vit,Volkswagen,E-Golf,Göteborg,184 800,,,
5 329,2018,Halvkombi,2,136,Vit,Volkswagen,E-Golf,Göteborg,189 900,,,
4 491,2022,SUV,2,204,Mörkgrå,Volkswagen,ID.4,Stockholm,449 900,,,
2 923,2020,Halvkombi,2,136,Vit,Volkswagen,E-Golf,Västerbotten,239 000,,,
4 315,2020,Halvkombi,2,83,Silver,Volkswagen,e-up!,Dalarna,169 900,,,
9 082,2021,Halvkombi,2,204,Grå,Volkswagen,ID.3,Västmanland,239 000,,,
10 135,2021,SUV,2,204,Blå,Volkswagen,ID.4,Värmland,329 500,,,
2 787,2021,Halvkombi,2,204,Grå,Volkswagen,ID.3,Södermanland,274 800,,,
1 700,2023,SUV,2,204,Grå,Volkswagen,ID.4,Älvsborg,419 900,,,
5 843,2020,Halvkombi,2,207,Röd,Volkswagen,ID.3,Stockholm,388 800,,,
3 000,2021,Halvkombi,2,204,Vit,Volkswagen,ID.3,Södermanland,307 000,,,
1 560,2023,SUV,2,207,Blå,Volkswagen,ID.4,Göteborg,439 900,,,
4 530,2021,SUV,2,204,Gul,Volkswagen,ID.4,Stockholm,378 900,,,
5 400,2022,SUV,4,300,Blå,Volkswagen,ID.4,Norrbotten,549 900,,,
1 500,2023,SUV,4,300,Svart,Volkswagen,ID.4,Södermanland,549 000,,,
1 740,2022,SUV,4,300,Grå,Volkswagen,ID.4,Södermanland,467 500,,,
2 940,2022,SUV,4,300,Vit,Volkswagen,ID.4,Uppsala,484 900,,,
1 045,2023,SUV,4,304,Svart,Volkswagen,ID.4,Göteborg,549 900,,,
3229,2022,Sedan,4,498,vit,Tesla,3,Stockholm,484900,,,
2723,2021,Sedan,4,441,svart,Tesla,3,Stockholm,434900,,,
10500,2019,Suv,4,423,grå,Tesla,X,Skåne,549900,,,
6315,2021,Sedan,4,446,grå,Tesla,3,Skaraborg,438400,,,
5902,2021,Sedan,4,441,vit,Tesla,3,Norrbotten,448500,,,
8183,2020,Sedan,4,491,vit,Tesla,3,Stockholm,365900,,,
7234,2021,Sedan,4,441,vit,Tesla,3,Västmanland,399800,,,
5200,2022,Sedan,4,498,blå,Tesla,3,Kalmar,459700,,,
3899,2020,Sedan,4,510,vit,Tesla,3,Skåne,410900,,,
5620,2021,Sedan,4,513,grå,Tesla,3,Stockholm,428900,,,
7308,2019,Sedan,4,476,röd,Tesla,3,Stockholm,344900,,,
8589,2021,Sedan,4,441,vit,Tesla,3,Stockholm,374800,,,
5321,2021,Sedan,4,498,vit,Tesla,3,Stockholm,406900,,,
11524,2015,Halvkombi,4,423,röd,Tesla,S,Göteborg,318900,,,
17069,2019,Halvkombi,4,762,grå,Tesla,S,Göteborg,500000,,,
16454,2015,Sedan,4,334,vit,Tesla,S,Göteborg,259900,,,
10823,2016,Halvkombi,4,423,svart,Tesla,S,Göteborg,439900,,,
15949,2016,Suv,4,540,vit,Tesla,X,Göteborg,459900,,,
15288,2015,Halvkombi,4,334,svart,Tesla,S,Göteborg,269900,,,
2933,2020,Sedan,4,441,svart,Tesla,3,Halland,409900,,,
2499,2021,Sedan,4,330,vit,Tesla,3,Skaraborg,387800,,,
15024,2015,Halvkombi,4,512,grå,Tesla,S,Skaraborg,375000,,,
7710,2019,Sedan,4,463,blå,Tesla,3,Skaraborg,349900,,,
5718,2021,Sedan,4,513,vit,Tesla,3,Skåne,499900,,,
8898,2017,Suv,4,423,vit,Tesla,X,Skåne,499900,,,
13400,2016,Halvkombi,4,320,vit,Tesla,S,Skåne,319900,,,
1000,2022,Suv,4,346,grå,Tesla,Y,Skåne,509900,,,
7995,2020,Halvkombi,4,512,grå,Tesla,S,Skåne,579900,,,
9997,2020,Sedan,4,441,vit,Tesla,3,Skåne,349900,,,
6998,2020,Halvkombi,4,815,vit,Tesla,S,Skåne,899900,,,
8998,2017,Suv,4,525,grå,Tesla,X,Skåne,699900,,,
3798,2019,Halvkombi,4,772,svart,Tesla,S,Skåne,849900,,,
3298,2020,Sedan,4,513,vit,Tesla,3,Skåne,519900,,,
13100,2018,Halvkombi,4,334,vit,Tesla,S,Södermanland,390000,,,
9198,2020,Sedan,4,259,röd,Tesla,3,Södermanland,319900,,,
6906,2018,Halvkombi,4,525,svart,Tesla,S,Uppsala,399900,,,
3163,2022,Suv,4,346,vit,Tesla,Y,Uppsala,589700,,,
1600,2023,Suv,4,300,vit,Tesla,Y,Västmanland,506000,,,
5800,2022,Sedan,4,513,vit,Tesla,3,Västmanland,469000,,,
3451,2021,Sedan,4,325,vit,Tesla,3,Stockholm,362900,,,
5866,2021,Sedan,4,498,vit,Tesla,3,Stockholm,402900,,,
5045,2021,Suv,4,514,blå,Tesla,Y,Stockholm,489900,,,
2357,2021,Suv,4,514,vit,Tesla,Y,Stockholm,491900,,,
7740,2021,Suv,4,346,vit,Tesla,Y,Stockholm,483900,,,
3713,2019,Sedan,4,441,blå,Tesla,3,Stockholm,376900,,,
1605,2023,Suv,2,204,svart,Kia,Niro,Stockholm,388900,,,
4550,2020,Suv,2,204,Vit,Kia,Niro,Stockholm,299000,,,
1100,2023,Suv,2,239,Grå,Kia,EV6,Skåne,529000,,,
934,2022,Suv,2,325,vit,Kia,EV6,Skåne,559000,,,
4385,2020,Suv,2,204,vit,Kia,Niro,Stockholm,298900,,,
2401,2023,Suv,2,325,grå,Kia,EV6,Västernorrland,579900,,,
777,2023,Suv,2,229,svart,Kia,EV6,Kronoberg,625300,,,
5434,2019,Suv,2,204,grå,Kia,Niro,Stockholm,281900,,,
4394,2022,Suv,4,325,svart,Kia,EV6,Stockholm,501900,,,
5004,2022,Suv,2,218,grå,Kia,EV6,Stockholm,451900,,,
3032,2022,Suv,4,325,svart,Kia,EV6,Stockholm,510900,,,
7387,2019,Suv,2,204,svart,Kia,Niro,Stockholm,258900,,,
2991,2023,Suv,4,325,blå,Kia,EV6,Stockholm,519900,,,
1849,2023,Suv,4,325,röd,Kia,EV6,Stockholm,558900,,,
8908,2022,Suv,4,325,svart,Kia,EV6,Stockholm,476900,,,
7647,2021,Suv,2,204,vit,Kia,Soul,Göteborg,259900,,,
1570,2022,Suv,2,204,vit,Kia,EV6,Södermanland,334800,,,
11800,2015,Suv,2,136,vit,Kia,Soul,Älvsborg,110000,,,
5165,2022,Suv,4,325,blå,Kia,EV6,Stockholm,517900,,,
3590,2021,Suv,2,204,svart,Kia,Niro,Stockholm,320900,,,
3537,2022,Suv,4,325,Svart,Kia,EV6,Stockholm,534900,,,
12900,2019,Suv,2,204,grå,Kia,Niro,Stockholm,239900,,,
1650,2023,Suv,2,204,grå,Kia,Niro,Skåne,389000,,,
5000,2021,Suv,2,204,vit,Kia,Niro,Skåne,309000,,,
1400,2023,Suv,2,229,grå,Kia ,EV6,Skåne,499000,,,
5848,2021,Suv,2,204,Svart,Kia,Niro,Göteborg,299000,,,
1155,2024,Suv,4,385,vit,Kia,EV9,Västerbotten,809900,,,
520,2023,Suv,4,585,röd,Kia,EV6,Skåne,649000,,,
4033,2019,Suv,2,111,vit,Kia,Soul,Älvsborg,165000,,,
13237,2016,Suv,2,136,vit,Kia,Soul,Östergötland,139900,,,
3900,2023,Suv,2,204,vit,Kia,Niro,Skåne,385000,,,
4780,2021,Suv,2,204,röd,Kia,EV6,Dalarna,529000,,,
800,2024,Suv,4,385,Svart,Kia,EV9,Skåne,799000,,,
2690,2021,Suv,2,204,grå,Kia,Niro,Skåne,339000,,,
5412,2021,Suv,2,204,grå,Kia,Soul,Skåne,279900,,,
2000,2023,Suv,4,325,vit,Kia,EV6,Skåne,579000,,,
6032,2020,Suv,2,204,Svart,Kia ,Niro,Älvsborg,279000,,,
1100,2024,Suv,4,385,blå,Kia,EV9,Göteborg,839000,,,
6140,2020,Suv,2,204,svart,Kia,Niro,Skåne,279000,,,
1000,2024,Suv,4,325,vit,Kia,EV6,Göteborg,638400,,,
500,2024,Suv,4,385,grå,Kia,EV9,Göteborg,819000,,,
5721,2020,Suv,2,204,röd,Kia,Soul,Norrbotten,289900,,,
6036,2021,Suv,2,204,svart,Kia,Niro,Örebro,315800,,,
2925,2023,Suv,4,325,vit,Kia,EV6,Skaraborg,569000,,,
1500,2022,Kombi,2,177,grå,MG,5,Kalmar,334900,,,
4380,2021,Suv,4,289,svart,MG,R,Karlskrona,359800,,,
3609,2021,Suv,2,143,Röd,MG,ZS,Vetlanda,219400,,,
1127,2022,Kombi,2,177,Grå,MG,5,Skövde,309900,,,
3579,2020,Suv,2,143,Svart,MG,ZS,Nässjö,219900,,,
3920,2021,Suv,2,157,Vit,MG,ZS,Kalmar,299800,,,
4180,2022,Suv,2,180,Svart,MG,R,Stockholm,329900,,,
3129,2021,Suv,2,143,Blå,MG,ZS,Stockholm,209900,,,
1650,2020,Sedan,2,143,Svart,MG,ZS,Nässjö,219900,,,
1329,2022,Suv,4,289,Svart,MG,R,Nyköping,359800,,,
1100,2021,Kombi,2,157,Svart,MG,5,Norrköping,269900,,,
730,2022,Suv,2,180,Vit,MG,Marvel,Jönköping,389900,,,
2190,2021,Suv,2,143,Vit,MG,ZS,Karlskrona,219800,,,
1766,2022,Suv,4,289,Vit,MG,R,Växjö,389900,,,
2896,2022,Kombi,2,157,Vit,MG,5,Kalmar,334800,,,
500,2022,Suv,2,157,Svart,MG,ZS,Nyköping,319900,,,
2716,2022,Suv,2,157,Svart,MG,ZS,Växjö,294800,,,
2148,2021,Suv,2,143,Röd,MG,ZS,Växjö,214800,,,
3694,2022,Suv,2,157,Grå,MG,ZS,Växjö,294800,,,
1000,2022,Sedan,2,177,Vit,MG,5,Nässjö,309900,,,
1600,2022,Suv,4,289,Vit,MG,R,Nässjö,457900,,,
1295,2022,Suv,2,157,Vit,MG,ZS,Falun,289900,,,
1940,2022,Suv,2,180,Grå,MG,R,Västerås,369900,,,
2650,2022,Kombi,2,177,Röd,MG,5,Skövde,311750,,,
500,2022,Kombi,2,157,Röd,MG,5,Kalmar,329900,,,
2336,2022,Kombi,2,177,Svart,MG,5,Vetlanda,279800,,,
700,2023,Halvkombi,4,436,Grön,MG,4,Växjö,437000,,,
500,2022,Suv,2,180,Vit,MG,R,Norrköping,399900,,,
500,2022,Kombi,2,177,Grå,MG,5,Karlskrona,344500,,,
950,2022,Halvkombi,2,204,Svart,MG,4,Nyköping,339800,,,
950,2022,Suv,2,157,Vit,MG,ZS,Nyköping,334800,,,
2500,2022,Kombi,2,157,Svart,MG,5,Vimmerby,339900,,,
950,2022,Suv,2,157,Vit,MG,ZS,Nyköping,334800,,,
900,2022,Kombi,2,157,Röd,MG,5,Norrköping,289900,,,
4331,2021,Suv,2,191,Vit,MB,EQA,Stockholm,408900,,,
7695,2020,Suv,4,408,Grå,MB,EQC,Stockholm,473900,,,
6531,2021,Suv,2,191,Vit,MB,EQA,Stockholm,434900,,,
1280,2022,Suv,4,229,Mörkgrå,MB,EQA,Stockholm,474900,,,
4919,2020,Suv,4,408,Röd,MB,EQC,Stockholm,494900,,,
1650,2022,Suv,4,229,Röd,MB,EQB,Vimmerby,549900,,,
2100,2021,Suv,4,408,Grå,MB,EQC,Stockholm,548900,,,
3900,2023,Sedan,2,293,Svart,MB,EQE,Vimmerby,659000,,,
7629,2022,Suv,2,191,Mörkgrå,MB,EQA,Stockholm,434900,,,
1320,2023,Sedan,2,245,Grå,MB,EQE,Västervik,659000,,,
